timestamp,sensor1
2018-05-23 11:17:04,1_13513
2018-05-23 11:17:05,1_13454
2018-05-23 11:17:05,1_13445
2018-05-23 11:17:05,1_13445
2018-05-23 11:17:06,1_13487
2018-05-23 11:17:06,1_13446
2018-05-23 11:17:07,1_13454
2018-05-23 11:17:07,1_13469
2018-05-23 11:17:07,1_13466
2018-05-23 11:17:08,1_13517
2018-05-23 11:17:08,1_13465
2018-05-23 11:17:09,1_13498
2018-05-23 11:17:09,1_13469
2018-05-23 11:17:10,1_13436
2018-05-23 11:17:10,1_13450
2018-05-23 11:17:10,1_13461
2018-05-23 11:17:11,1_13424
2018-05-23 11:17:11,1_13516
2018-05-23 11:17:12,1_13517
2018-05-23 11:17:12,1_13474
2018-05-23 11:17:13,1_13454
2018-05-23 11:17:13,1_13339
2018-05-23 11:17:13,1_13451
2018-05-23 11:17:14,1_13481
2018-05-23 11:17:14,1_13233
2018-05-23 11:17:15,1_13492
2018-05-23 11:17:15,1_13453
2018-05-23 11:17:15,1_13446
2018-05-23 11:17:16,1_13456
2018-05-23 11:17:16,1_13486
2018-05-23 11:17:17,1_13462
2018-05-23 11:17:17,1_13466
2018-05-23 11:17:17,1_13496
2018-05-23 11:17:18,1_13439
2018-05-23 11:17:18,1_13521
2018-05-23 11:17:19,1_13470
2018-05-23 11:17:19,1_13469
2018-05-23 11:17:20,1_13461
2018-05-23 11:17:20,1_13458
2018-05-23 11:17:20,1_13309
2018-05-23 11:17:21,
2018-05-23 11:17:21,1_13024
2018-05-23 11:17:22,1_13467
2018-05-23 11:17:22,1_13438
2018-05-23 11:17:22,1_13432
2018-05-23 11:17:23,1_13246
2018-05-23 11:17:23,1_13210
2018-05-23 11:17:24,1_13428
2018-05-23 11:17:24,1_13465
2018-05-23 11:17:24,1_13449
2018-05-23 11:17:25,1_13457
2018-05-23 11:17:25,1_13513
2018-05-23 11:17:26,1_13447
2018-05-23 11:17:26,1_13470
2018-05-23 11:17:27,1_13443
2018-05-23 11:17:27,1_13433
2018-05-23 11:17:27,1_13434
2018-05-23 11:17:28,1_13412
2018-05-23 11:17:28,1_13477
2018-05-23 11:17:29,1_13462
2018-05-23 11:17:29,1_13440
2018-05-23 11:17:30,1_13409
2018-05-23 11:17:30,1_13328
2018-05-23 11:17:30,1_13410
2018-05-23 11:17:31,1_13461
2018-05-23 11:17:31,1_13387
2018-05-23 11:17:32,1_13439
2018-05-23 11:17:32,1_13506
2018-05-23 11:17:32,1_13458
2018-05-23 11:17:33,1_13436
2018-05-23 11:17:33,1_13424
2018-05-23 11:17:34,1_13457
2018-05-23 11:17:34,1_13446
2018-05-23 11:17:34,1_13432
2018-05-23 11:17:35,1_13465
2018-05-23 11:17:35,1_13444
2018-05-23 11:17:36,1_13501
2018-05-23 11:17:36,1_13467
2018-05-23 11:17:36,1_13235
2018-05-23 11:17:37,1_13491
2018-05-23 11:17:37,1_13442
2018-05-23 11:17:38,1_13491
2018-05-23 11:17:38,1_13371
2018-05-23 11:17:39,1_13492
2018-05-23 11:17:39,1_13446
2018-05-23 11:17:39,1_13439
2018-05-23 11:17:40,1_13390
2018-05-23 11:17:40,1_13439
2018-05-23 11:17:41,1_13434
2018-05-23 11:17:41,1_13361
2018-05-23 11:17:42,1_13409
2018-05-23 11:17:42,1_13454
2018-05-23 11:17:42,1_13458
2018-05-23 11:17:43,1_13444
2018-05-23 11:17:43,1_13451
2018-05-23 11:17:44,1_13289
2018-05-23 11:17:44,1_13440
2018-05-23 11:17:44,1_13521
2018-05-23 11:17:45,1_13230
2018-05-23 11:17:45,1_13358
2018-05-23 11:17:46,1_13442
